"Papers","Author","Areas","ORCID","Name_Variants"
"1","Andrew D. Bailey","","","Andrew D. Bailey"
"1","Jeffrey Parsons","","","Jeffrey Parsons"
"1","Douglas Dyer","","","Douglas Dyer"
"1","Martin Gugat","","","Martin Gugat"
"1","Bruce E. Barrett","","","Bruce E. Barrett"
"1","G. Mosheiov","","","G. Mosheiov"
"1","E. Powell Robinson","","","E. Powell Robinson"
"1","Li-Lian Gao","","","Li-Lian Gao"
"1","Moshe Eben-Chaime","","","Moshe Eben-Chaime"
"1","M. Hossein Safizadeh","","","M. Hossein Safizadeh"
"1","Deven Sharma","","","Deven Sharma"
"1","Craig Wood","","","Craig Wood"
"1","Anantaram Balakrishan","","","Anantaram Balakrishan"
"1","Stephen J. Grotzinger","","","Stephen J. Grotzinger"
"1","Jason D. Papastavrou","","","Jason D. Papastavrou"
"1","Srikanth Rajagopalan","","","Srikanth Rajagopalan"
"1","Erling D. Andersen","","","Erling D. Andersen"
"1","John Jackman","","","John Jackman"
"1","Glenn J. Browne","","","Glenn J. Browne"
"1","Peter Tertzakian","","","Peter Tertzakian"
"1","Avi Wohl","","","Avi Wohl"
"1","Wolfgang Bruggemann","","","Wolfgang Bruggemann"
"1","Hermann Jahnke","","","Hermann Jahnke"
"1","Richard A. Milliman","","","Richard A. Milliman"
"1","Yafeng Du","","","Yafeng Du"
"1","S. A. E. Sassen","","","S. A. E. Sassen"
"1","Antonella Basso","","","Antonella Basso"
"1","Paolo Pianca","","","Paolo Pianca"
"1","Cihan H. Tuncbilek","","","Cihan H. Tuncbilek"
"1","David F. Midgley","","","David F. Midgley"
"1","Robert E. Marks","","","Robert E. Marks"
"1","José de la Torre","","","José de la Torre"
"1","Allen M. Weiss","","","Allen M. Weiss"
"1","Jacob Boudoukh","","","Jacob Boudoukh"
"1","Matthew Richardson","","","Matthew Richardson"
"1","Robert F. Whitelaw","","","Robert F. Whitelaw"
"1","A. V. Srinivasa","","","A. V. Srinivasa"
"1","Viswanathan Krishnan","","","Viswanathan Krishnan"
"1","Clark Jordan","","","Clark Jordan"
"1","Gary Burchill","","","Gary Burchill"
"1","Fred Kofman","","","Fred Kofman"
"1","David F. Larcker","","","David F. Larcker"
"1","Mark E. Bergen","","","Mark E. Bergen"
"1","Robert Austin","","","Robert Austin"
"1","Shmuel Zamir","","","Shmuel Zamir"
"1","Kiyohiko Ito","","","Kiyohiko Ito"
"1","Alain Pinsonneault","","","Alain Pinsonneault"
"1","Barton Weitz","","","Barton Weitz"
"1","Srinivas Y. Prasad","","","Srinivas Y. Prasad"
"1","Matthew F. Keblis","","","Matthew F. Keblis"
"1","James E. Hunton","","","James E. Hunton"
"1","Kenneth H. Price","","","Kenneth H. Price"
"1","Martin Ahlbrecht","","","Martin Ahlbrecht"
"1","Sanjay L. Ahire","","","Sanjay L. Ahire"
"1","Guy Desaulniers","","","Guy Desaulniers"
"1","Yvan Dumas","","","Yvan Dumas"
"1","Louis A. Lefebvre","","","Louis A. Lefebvre"
"1","Robert Mason","","","Robert Mason"
"1","Élisabeth Lefebvre","","","Élisabeth Lefebvre"
"1","Victor M. Guerrero","","","Victor M. Guerrero"
"1","J. Alan Elizondo","","","J. Alan Elizondo"
"1","John P. Leschke","","","John P. Leschke"
"1","Dawei Bai","","","Dawei Bai"
"1","Tamra Carpenter","","","Tamra Carpenter"
"1","Buyang Cao","","","Buyang Cao"
"1","Donald D. Eisenstein","","","Donald D. Eisenstein"
"1","David E. Platt","","","David E. Platt"
"1","Lawrence W. Robinson","","","Lawrence W. Robinson"
"1","Nozer D. Singpurwalla","","","Nozer D. Singpurwalla"
"1","Simon P. Wilson","","","Simon P. Wilson"
"1","Frederick Novomestky","","","Frederick Novomestky"
"1","Wushong Jwo","","","Wushong Jwo"
"1","Doug Dean","","","Doug Dean"
"1","Vahid Lotfi","","","Vahid Lotfi"
"1","Yong. S. Yoon","","","Yong. S. Yoon"
"1","David F. Muñoz","","","David F. Muñoz"
"1","George M. Marakas","","","George M. Marakas"
"1","Joyce J. Elam","","","Joyce J. Elam"
"1","Arvind Rangaswamy","","","Arvind Rangaswamy"
"1","G. Richard Shell","","","G. Richard Shell"
"1","John Paul Broussard","","","John Paul Broussard"
"1","Vesa Puttonen","","","Vesa Puttonen"
"1","Phillipe B. Chevalier","","","Phillipe B. Chevalier"
"1","Jaap Kamps","","","Jaap Kamps"
"1","Michael Masuch","","","Michael Masuch"
"1","Sadao Sakakibara","","","Sadao Sakakibara"
"1","Barbara B. Flynn","","","Barbara B. Flynn"
"1","Linda Moffat","","","Linda Moffat"
"1","Chiahon Chien","","","Chiahon Chien"
"1","Robert G. Fichman","","","Robert G. Fichman"
"1","Gerald J. Gorn","","","Gerald J. Gorn"
"1","Amitava Chattopadhyay","","","Amitava Chattopadhyay"
"1","Tracey Yi","","","Tracey Yi"
"1","Stanley Stafira","","","Stanley Stafira"
"1","Bruce W. Lamar","","","Bruce W. Lamar"
"1","Chris A. Wallace","","","Chris A. Wallace"
"1","Alan Harrison Bohl","","","Alan Harrison Bohl"
"1","Pieter A. VanderWerf","","","Pieter A. VanderWerf"
"1","John F. Mahon","","","John F. Mahon"
"1","Ronald J. Balvers","","","Ronald J. Balvers"
"1","Mustafa Chowdhury","","","Mustafa Chowdhury"
"1","Yiuman Tse","","","Yiuman Tse"
"1","Prabhu Aggarwal","","","Prabhu Aggarwal"
"1","Dwight Grant","","","Dwight Grant"
"1","Gautam Vora","","","Gautam Vora"
"1","Chung-ki Min","","","Chung-ki Min"
"1","J. Yannis Bakos","","","J. Yannis Bakos"
"1","Bruce W. Weber","","","Bruce W. Weber"
"1","Terry Barron","","","Terry Barron"
"1","Léopold Simar","","","Léopold Simar"
"1","Bruce H. Clark","","","Bruce H. Clark"
"1","Anulark Pinnoi","","","Anulark Pinnoi"
"1","James A. Sundali","","","James A. Sundali"
"1","Joseph Lipscomb","","","Joseph Lipscomb"
"1","Giovanni Parmigiani","","","Giovanni Parmigiani"
"1","Vic Hasselblad","","","Vic Hasselblad"
"1","Antreas D. Athanassopoulos","","","Antreas D. Athanassopoulos"
"1","Philip M. Lurie","","","Philip M. Lurie"
"1","Matthew S. Goldberg","","","Matthew S. Goldberg"
"1","Gamze Tokol","","","Gamze Tokol"
"1","Daniel H. Ockerman","","","Daniel H. Ockerman"
"1","James J. Swain","","","James J. Swain"
"1","Christopher M. Rump","","","Christopher M. Rump"
"1","Dale D. Achabal","","","Dale D. Achabal"
"1","Martina Vandebroek","","","Martina Vandebroek"
"1","E. Carrizosa","","","E. Carrizosa"
"1","E. Conde","","","E. Conde"
"1","M. Muñoz-Márquez","","","M. Muñoz-Márquez"
"1","Bahram Alidaee","","","Bahram Alidaee"
"1","Gil S. Epstein","","","Gil S. Epstein"
"1","Daniele Vigo","","","Daniele Vigo"
"1","Emre Berk","","","Emre Berk"
"1","Selwyn Piramuthu","","","Selwyn Piramuthu"
"1","Harish Ragavan","","","Harish Ragavan"
"1","Richard Wang","","","Richard Wang"
"1","Dennis H. Locke","","","Dennis H. Locke"
"1","Arjen van Witteloostuijn","","","Arjen van Witteloostuijn"
"1","Michel Regenwetter","","","Michel Regenwetter"
"1","Bernard Grofman","","","Bernard Grofman"
"1","Gordon H. Lewis","","","Gordon H. Lewis"
"1","Eswaran Subrahmanian","","","Eswaran Subrahmanian"
"1","J. Myles Shaver","","","J. Myles Shaver"
"1","E. Thanassoulis","","","E. Thanassoulis"
"1","Berend Wierenga","","","Berend Wierenga"
"1","Menachem Berg","","","Menachem Berg"
"1","Jorg Jansen","","","Jorg Jansen"
"1","Carsten Jordan","","","Carsten Jordan"
"1","Vittorio Maniezzo","","","Vittorio Maniezzo"
"1","Salvatore Ricciardelli","","","Salvatore Ricciardelli"
"1","Lucio Bianco","","","Lucio Bianco"
"1","Hans Gersbach","","","Hans Gersbach"
"1","Piet Verheyen","","","Piet Verheyen"
"1","Willem Van Groenendaal","","","Willem Van Groenendaal"
"1","John H. Miller","","","John H. Miller"
"1","Dong X. Shaw","","","Dong X. Shaw"
"1","John M. Miyamoto","","","John M. Miyamoto"
"1","Hans J. M. Peters","","","Hans J. M. Peters"
"1","Ya'acov Ritov","","","Ya'acov Ritov"
"1","Antonio S. Mello","","","Antonio S. Mello"
"1","Henrik J. Neuhaus","","","Henrik J. Neuhaus"
"1","Antonio Arreola-Risa","","","Antonio Arreola-Risa"
"1","Martin I. Reiman","","","Martin I. Reiman"
"1","Marcelo Salinas","","","Marcelo Salinas"
"1","Shun-Chen Niu","","","Shun-Chen Niu"
"1","George B. Kleindorfer","","","George B. Kleindorfer"
"1","Liam O'Neill","","","Liam O'Neill"
"1","Nigel Meade","","","Nigel Meade"
"1","Towhidul Islam","","","Towhidul Islam"
"1","Inder Khosla","","","Inder Khosla"
"1","Nandu J. Nagarajan","","","Nandu J. Nagarajan"
"1","Erling Moxnes","","","Erling Moxnes"
"1","Füsun Gönül","","","Füsun Gönül"
"1","Meng Ze Shi","","","Meng Ze Shi"
"1","Kwok-Kee Wei","","","Kwok-Kee Wei"
"1","Richard T. Watson","","","Richard T. Watson"
"1","Danial L. Clapper","","","Danial L. Clapper"
"1","Ephraim R. McLean","","","Ephraim R. McLean"
"1","Juhwen Hwang","","","Juhwen Hwang"
"1","Timothy C. Hesterberg","","","Timothy C. Hesterberg"
"1","Harry W. Conley","","","Harry W. Conley"
"1","Jack A. Jackson","","","Jack A. Jackson"
"1","Lee J. Lehmkuhl","","","Lee J. Lehmkuhl"
"1","John M. Andrew","","","John M. Andrew"
"1","Ching-Rong Lin","","","Ching-Rong Lin"
"1","Joseph Buongiorno","","","Joseph Buongiorno"
"1","Suman Basuroy","","","Suman Basuroy"
"1","Denis Cormier","","","Denis Cormier"
"1","Alexander J. Weintraub","","","Alexander J. Weintraub"
"1","Andrew Zozom","","","Andrew Zozom"
"1","Nile W. Hatch","","","Nile W. Hatch"
"1","Linda M. Van de Gucht","","","Linda M. Van de Gucht"
"1","Norman Henderson","","","Norman Henderson"
"1","Ian Langford","","","Ian Langford"
"1","George Li","","","George Li"
"1","Marc R. Lambrecht","","","Marc R. Lambrecht"
"1","Philip L. Ivens","","","Philip L. Ivens"
"1","Nico J. Vandaele","","","Nico J. Vandaele"
"1","Riyaz Sikora","","","Riyaz Sikora"
"1","Ilan Hefter","","","Ilan Hefter"
"1","Ishwar Murthy","","","Ishwar Murthy"
"1","Isabelle Bajeux-Besnainou","","","Isabelle Bajeux-Besnainou"
"1","Roland Portait","","","Roland Portait"
"1","Martine Labbé","","","Martine Labbé"
"1","Patrice Marcotte","","","Patrice Marcotte"
"1","Gilles Savard","","","Gilles Savard"
"1","Andreas Löbel","","","Andreas Löbel"
"1","Woojune Yi","","","Woojune Yi"
"1","Sridhar Bashyam","","","Sridhar Bashyam"
"1","X. Michael Song","","","X. Michael Song"
"1","Anne Stringfellow","","","Anne Stringfellow"
"1","Jumming Hsu","","","Jumming Hsu"
"1","Xu-Ming Wang","","","Xu-Ming Wang"
"1","Clayton M. Christensen","","","Clayton M. Christensen"
"1","Byung Ha Lim","","","Byung Ha Lim"
"1","Youngho Lee","","","Youngho Lee"
"1","Richard E. White","","","Richard E. White"
"1","John N. Pearson","","","John N. Pearson"
"1","Jeffrey R. Wilson","","","Jeffrey R. Wilson"
"1","Sayan Chatterjee","","","Sayan Chatterjee"
"1","Jagdip Singh","","","Jagdip Singh"
"1","Timothy Wheeler","","","Timothy Wheeler"
"1","Tito Homem-de-Mello","","","Tito Homem-de-Mello"
"1","Merja Halme","","","Merja Halme"
"1","Maw-Der Foo","","","Maw-Der Foo"
"1","Terence Reilly","","","Terence Reilly"
"1","Young-Soo Myung","","","Young-Soo Myung"
"1","Hyun-joon Kim","","","Hyun-joon Kim"
"1","Dong-wan Tcha","","","Dong-wan Tcha"
"1","Akhil Kumar","","","Akhil Kumar"
"1","Sungmin Kang","","","Sungmin Kang"
"1","Kavindra Malik","","","Kavindra Malik"
"1","William D. White","","","William D. White"
"1","Jiefeng Xu","","","Jiefeng Xu"
"1","Steve Y. Chiu","","","Steve Y. Chiu"
"1","Shlomo Benartzi","","","Shlomo Benartzi"
"1","David Pisinger","","","David Pisinger"
"1","Kevin Crowston","","","Kevin Crowston"
"1","Jintae Lee","","","Jintae Lee"
"1","George Wyner","","","George Wyner"
"1","John Quimby","","","John Quimby"
"1","Charles S. Osborn","","","Charles S. Osborn"
"1","Abraham Bernstein","","","Abraham Bernstein"
"1","George Herman","","","George Herman"
"1","Mark Klein","","","Mark Klein"
"1","Elissa O'Donnell","","","Elissa O'Donnell"
"1","Nam Kyoo Boots","","","Nam Kyoo Boots"
"1","Hyoungtae Kim","","","Hyoungtae Kim"
"1","Lieven Demeester","","","Lieven Demeester"
"1","Jan Böttcher","","","Jan Böttcher"
"1","Frank Salewski","","","Frank Salewski"
"1","Tapas K. Das","","","Tapas K. Das"
"1","Abhijit Gosavi","","","Abhijit Gosavi"
"1","Sridhar Mahadevan","","","Sridhar Mahadevan"
"1","Nicholas Marchalleck","","","Nicholas Marchalleck"
"1","Robert A. Ruben","","","Robert A. Ruben"
"1","Kyung Sam Park","","","Kyung Sam Park"
"1","Kathy J. Hayes","","","Kathy J. Hayes"
"1","Lori L. Taylor","","","Lori L. Taylor"
"1","William L. Weber","","","William L. Weber"
"1","David J. Ellison","","","David J. Ellison"
"1","Philippe Jehiel","","","Philippe Jehiel"
"1","Nicolas P. B. Bollen","","","Nicolas P. B. Bollen"
"1","Casey Ichniowski","","","Casey Ichniowski"
"1","Kathryn Shaw","","","Kathryn Shaw"
"1","Erwin van der Laan","","","Erwin van der Laan"
"1","Rommert Dekker","","","Rommert Dekker"
"1","Mahmoud H. Alrefaei","","","Mahmoud H. Alrefaei"
"1","Katrina Maxwell","","","Katrina Maxwell"
"1","Soumitra Dutta","","","Soumitra Dutta"
"1","Xiao-Ping Chen","","","Xiao-Ping Chen"
"1","Kenneth K. Boyer","","","Kenneth K. Boyer"
"1","John R. Doyle","","","John R. Doyle"
"1","Peter Müller","","","Peter Müller"
"1","David Ríos Insua","","","David Ríos Insua"
"1","Sundar G. Bharadwaj","","","Sundar G. Bharadwaj"
"1","Benn R. Konsynski","","","Benn R. Konsynski"
"1","Y. Alex Tung","","","Y. Alex Tung"
"1","Gal Zauberman","","","Gal Zauberman"
"1","Søren Asmussen","","","Søren Asmussen"
"1","Koorush Ziarati","","","Koorush Ziarati"
"1","E. Grifell-Tatjé","","","E. Grifell-Tatjé"
"1","C. A. K. Lovell","","","C. A. K. Lovell"
"1","Mary C. Meyer","","","Mary C. Meyer"
"1","Paul Damien","","","Paul Damien"
"1","Ravi Kalakota","","","Ravi Kalakota"
"1","Andrew J. Leone","","","Andrew J. Leone"
"1","Douglas Gale","","","Douglas Gale"
"1","Mary A. Weiss","","","Mary A. Weiss"
"1","Hongmin Zi","","","Hongmin Zi"
"1","Joe Zhu","","","Joe Zhu"
"1","Douglas T. Gardner","","","Douglas T. Gardner"
"1","J. Scott Rogers","","","J. Scott Rogers"
"1","Knut Haase","","","Knut Haase"
"1","Andy A. Tsay","","","Andy A. Tsay"
"1","Paul D. Childs","","","Paul D. Childs"
"1","Chung-Lun Li","","","Chung-Lun Li"
"1","Patrik Alfredsson","","","Patrik Alfredsson"
"1","Jos Verrijdt","","","Jos Verrijdt"
"1","Gregory M. Gelles","","","Gregory M. Gelles"
"1","Giovanni M. Sechi","","","Giovanni M. Sechi"
"1","Paola Zuddas","","","Paola Zuddas"
"1","José Campa","","","José Campa"
"1","Mauro F. Guillén","","","Mauro F. Guillén"
"1","Raymond E. Levitt","","","Raymond E. Levitt"
"1","Jan Thomsen","","","Jan Thomsen"
"1","Tore R. Christiansen","","","Tore R. Christiansen"
"1","John C. Kunz","","","John C. Kunz"
"1","Yan Jin","","","Yan Jin"
"1","Clifford Nass","","","Clifford Nass"
"1","Siddharth Mahajan","","","Siddharth Mahajan"
"1","Feng Cheng","","","Feng Cheng"
"1","Satish S. Nair","","","Satish S. Nair"
"1","Sanjay I. Mistry","","","Sanjay I. Mistry"
"1","Boris Goldengorin","","","Boris Goldengorin"
"1","Gerard Sierksma","","","Gerard Sierksma"
"1","Gert A. Tijssen","","","Gert A. Tijssen"
"1","Michael Tso","","","Michael Tso"
"1","Nathan L. Kleinman","","","Nathan L. Kleinman"
"1","James C. Spall","","","James C. Spall"
"1","Daniel Q. Naiman","","","Daniel Q. Naiman"
"1","Harri Ehtamo","","","Harri Ehtamo"
"1","Raimo P. Hämäläinen","","","Raimo P. Hämäläinen"
"1","Pirja Heiskanen","","","Pirja Heiskanen"
"1","Jeffrey Teich","","","Jeffrey Teich"
"1","Markku Verkama","","","Markku Verkama"
"1","Sumit Dutta Chowdhury","","","Sumit Dutta Chowdhury"
"1","Stephen F. Roehrig","","","Stephen F. Roehrig"
"1","Sumitra Mukherjee","","","Sumitra Mukherjee"
"1","Ephraim Clark","","","Ephraim Clark"
"1","J. Edward Russo","","","J. Edward Russo"
"1","Margaret G. Meloy","","","Margaret G. Meloy"
"1","T. Jeffrey Wilks","","","T. Jeffrey Wilks"
"1","Gavin Sinclair","","","Gavin Sinclair"
"1","Sanjiv Ranjan Das","","","Sanjiv Ranjan Das"
"1","Johannes M. Lehner","","","Johannes M. Lehner"
"1","A. Ouorou","","","A. Ouorou"
"1","P. Mahey","","","P. Mahey"
"1","William J. Wolfe","","","William J. Wolfe"
"1","Stephen E. Sorensen","","","Stephen E. Sorensen"
"1","Edi Karni","","","Edi Karni"
"1","Philippe Mongin","","","Philippe Mongin"
"1","Giovanni Giuffrida","","","Giovanni Giuffrida"
"1","Raymond R. Hill","","","Raymond R. Hill"
"1","Charles H. Reilly","","","Charles H. Reilly"
"1","Kyle D. Chen","","","Kyle D. Chen"
"1","Doris A. Behrens","","","Doris A. Behrens"
"1","Gernot Tragler","","","Gernot Tragler"
"1","Kyungsik Lee","","","Kyungsik Lee"
"1","Heesang Lee","","","Heesang Lee"
"1","Wen Zhao","","","Wen Zhao"
"1","Kenneth H. Doerr","","","Kenneth H. Doerr"
"1","Frank Chen","","","Frank Chen"
"1","Diane L. Rulke","","","Diane L. Rulke"
"1","Joseph Galaskiewicz","","","Joseph Galaskiewicz"
"1","Baichun Xiao","","","Baichun Xiao"
"1","Patrice Poncet","","","Patrice Poncet"
"1","Doug Schroeder","","","Doug Schroeder"
"1","Tzvi Raz","","","Tzvi Raz"
"1","Joseph M. Tama","","","Joseph M. Tama"
"1","Jørgen Tind","","","Jørgen Tind"
"1","Man-Chung Ng","","","Man-Chung Ng"
"1","Xiaoqiang Cai","","","Xiaoqiang Cai"
"1","Kok-Lay Teo","","","Kok-Lay Teo"
"1","Xiaoqi Yang","","","Xiaoqi Yang"
"1","Maria Grazia Speranza","","","Maria Grazia Speranza"
"1","Walter Ukovich","","","Walter Ukovich"
"1","Bradford L. Arkin","","","Bradford L. Arkin"
"1","Gregory S. Zaric","","","Gregory S. Zaric"
"1","Paul G. Barnett","","","Paul G. Barnett"
"1","Stuart Hart","","","Stuart Hart"
"1","Daina Dennis","","","Daina Dennis"
"1","Asbjørn T. Hansen","","","Asbjørn T. Hansen"
"1","Peter Løchte Jørgensen","","","Peter Løchte Jørgensen"
"1","Arthur Hsu","","","Arthur Hsu"
"1","Ronald T. Wilcox","","","Ronald T. Wilcox"
"1","Emmanuel Fragnière","","","Emmanuel Fragnière"
"1","Jacek Gondzio","","","Jacek Gondzio"
"1","Robert Sarkissian","","","Robert Sarkissian"
"1","Jean-Philippe Vial","","","Jean-Philippe Vial"
"1","Fredrik Åkesson","","","Fredrik Åkesson"
"1","John P. Lehoczky","","","John P. Lehoczky"
"1","Sid Browne","","","Sid Browne"
"1","Rebecca M. D'Amato","","","Rebecca M. D'Amato"
"1","Richard T. D'Aquila","","","Richard T. D'Aquila"
"1","Christiane Lemieux","","","Christiane Lemieux"
"1","Sidney Resnick","","","Sidney Resnick"
"1","Kwaku Atuahene-Gima","","","Kwaku Atuahene-Gima"
"1","Felicitas Evangelista","","","Felicitas Evangelista"
"1","Stephen J. DeCanio","","","Stephen J. DeCanio"
"1","Catherine Dibble","","","Catherine Dibble"
"1","Keyvan Amir-Atefi","","","Keyvan Amir-Atefi"
"1","Shobha S. Das","","","Shobha S. Das"
"1","Ulrich Dorndorf","","","Ulrich Dorndorf"
"1","Erwin Pesch","","","Erwin Pesch"
"1","Toàn Phan-Huy","","","Toàn Phan-Huy"
"1","Ani Dasgupta","","","Ani Dasgupta"
"1","Madhubani Ghosh","","","Madhubani Ghosh"
"1","Amin Amershi","","","Amin Amershi"
"1","Ratna Sarkar","","","Ratna Sarkar"
"1","John W. Pratt","","","John W. Pratt"
"1","Michael P. Johnson","","","Michael P. Johnson"
"1","Zaharias Xanthopulos","","","Zaharias Xanthopulos"
"1","Emanuel Melachrinoudis","","","Emanuel Melachrinoudis"
"1","Saurabh Gupta","","","Saurabh Gupta"
"1","David Mazursky","","","David Mazursky"
"1","Ely Dahan","","","Ely Dahan"
"1","Roberto Verganti","","","Roberto Verganti"
"1","Mohan V. Tatikonda","","","Mohan V. Tatikonda"
"1","Mitzi M. Montoya-Weiss","","","Mitzi M. Montoya-Weiss"
"1","David Dranove","","","David Dranove"
"1","Mark Shanley","","","Mark Shanley"
"1","Larry Eisenberg","","","Larry Eisenberg"
"1","Chialin Chen","","","Chialin Chen"
"1","Pinar Keskinocak","","","Pinar Keskinocak"
"1","Peter O. Christensen","","","Peter O. Christensen"
"1","Gerald A. Feltham","","","Gerald A. Feltham"
"1","Kjetil Høyland","","","Kjetil Høyland"
"1","Stein W. Wallace","","","Stein W. Wallace"
"1","Wai Man Tse","","","Wai Man Tse"
"1","Leong Kwan Li","","","Leong Kwan Li"
"1","Kai Wang Ng","","","Kai Wang Ng"
"1","Aaron J. Shenhar","","","Aaron J. Shenhar"
"1","Dimitrios Vlachos","","","Dimitrios Vlachos"
"1","Brian Downs","","","Brian Downs"
"1","Richard Metters","","","Richard Metters"
"1","Alf Kimms","","","Alf Kimms"
"1","Maurizio Sobrero","","","Maurizio Sobrero"
"1","Amir Heiman","","","Amir Heiman"
"1","Zhihua Shen","","","Zhihua Shen"
"1","David Zilberman","","","David Zilberman"
"1","Jovan Grahovac","","","Jovan Grahovac"
"1","Nikhil Jain","","","Nikhil Jain"
"1","Anand Paul","","","Anand Paul"
"1","Wei Shi Lim","","","Wei Shi Lim"
"1","Richard M.J. Bohmer","","","Richard M.J. Bohmer"
"1","Jewel S. Bonser","","","Jewel S. Bonser"
"1","Peter W. Mullarkey","","","Peter W. Mullarkey"
"1","Ke Ding","","","Ke Ding"
"1","Jean-Marie Bourjolly","","","Jean-Marie Bourjolly"
"1","Srimathy Mohan","","","Srimathy Mohan"
"1","Rogelio Oliva","","","Rogelio Oliva"
"1","Amir Klausner","","","Amir Klausner"
"1","Moshe Pollak","","","Moshe Pollak"
"1","Dmitry Davydov","","","Dmitry Davydov"
"1","Vadim Linetsky","","","Vadim Linetsky"
"1","Juan José Salazar","","","Juan José Salazar"
"1","Martin Natter","","","Martin Natter"
"1","Andreas Mild","","","Andreas Mild"
"1","Markus Feurstein","","","Markus Feurstein"
"1","Georg Dorffner","","","Georg Dorffner"
"1","Alfred Taudes","","","Alfred Taudes"
"1","Kostas Axarloglou","","","Kostas Axarloglou"
"1","Vikas Sinha","","","Vikas Sinha"
"1","Alper Atamtürk","","","Alper Atamtürk"
"1","Gregory A. Godfrey","","","Gregory A. Godfrey"
"1","Koichiro Inoue","","","Koichiro Inoue"
"1","Ilan Guttman","","","Ilan Guttman"
"1","Isabel Tkatch","","","Isabel Tkatch"
"1","Julia A. Bennell","","","Julia A. Bennell"
"1","Kathryn A. Dowsland","","","Kathryn A. Dowsland"
"1","Edward Conlon","","","Edward Conlon"
"1","Khalil F. Matta","","","Khalil F. Matta"
"1","Sulin Ba","","","Sulin Ba"
"1","Jan Stallaert","","","Jan Stallaert"
"1","Steffen L. Lauritzen","","","Steffen L. Lauritzen"
"1","Dennis Nilsson","","","Dennis Nilsson"
"1","Wee-Peng Tan","","","Wee-Peng Tan"
"1","Mirela Stojković","","","Mirela Stojković"
"1","Jaime Ortega","","","Jaime Ortega"
"1","Anil Kukreja","","","Anil Kukreja"
"1","Sila Eetinkaya","","","Sila Eetinkaya"
"1","Hayriye Ayhan","","","Hayriye Ayhan"
"1","Douglas G. Down","","","Douglas G. Down"
"1","Ram S. Sriram","","","Ram S. Sriram"
"1","S. Huang","","","S. Huang"
"1","Y. Yang","","","Y. Yang"
"1","K. Anderson","","","K. Anderson"
"1","Nitindra R. Joglekar","","","Nitindra R. Joglekar"
"1","Ali A. Yassine","","","Ali A. Yassine"
"1","Scott M. Shafer","","","Scott M. Shafer"
"1","Mustafa V. Uzumeri","","","Mustafa V. Uzumeri"
"1","Nalini Dayanand","","","Nalini Dayanand"
"1","Sandeep Kapur","","","Sandeep Kapur"
"1","Leyuan Shi","","","Leyuan Shi"
"1","Sigurdur Ólafsson","","","Sigurdur Ólafsson"
"1","Qun Chen","","","Qun Chen"
"1","V. Cvsa","","","V. Cvsa"
"1","P. Ritchken","","","P. Ritchken"
"1","Michael Kilka","","","Michael Kilka"
"1","John P. Walsh","","","John P. Walsh"
"1","Massimo Riccaboni","","","Massimo Riccaboni"
"1","Walter W. Powell","","","Walter W. Powell"
"1","Jeannette Colyvas","","","Jeannette Colyvas"
"1","Michael Crow","","","Michael Crow"
"1","Annetine Gelijns","","","Annetine Gelijns"
"1","Roberto Mazzoleni","","","Roberto Mazzoleni"
"1","Nathan Rosenberg","","","Nathan Rosenberg"
"1","Jerry G. Thursby","","","Jerry G. Thursby"
"1","Lynne G. Zucker","","","Lynne G. Zucker"
"1","Michael R. Darby","","","Michael R. Darby"
"1","Jeff S. Armstrong","","","Jeff S. Armstrong"
"1","Christopher L. Tucci","","","Christopher L. Tucci"
"1","Jin K. Han","","","Jin K. Han"
"1","Rajendra K. Srivastava","","","Rajendra K. Srivastava"
"1","Rune Stenbacka","","","Rune Stenbacka"
"1","James R. Bradley","","","James R. Bradley"
"1","Ki Ling Cheung","","","Ki Ling Cheung"
"1","Kenneth F. Reinschmidt","","","Kenneth F. Reinschmidt"
"1","Ming Ding","","","Ming Ding"
"1","Daniel Cable","","","Daniel Cable"
"1","Satish Nambisan","","","Satish Nambisan"
"1","Bob Korkie","","","Bob Korkie"
"1","Harry J. Turtle","","","Harry J. Turtle"
"1","Sok-Hyon Kang","","","Sok-Hyon Kang"
"1","William J. Breen","","","William J. Breen"
"1","Laurie Simon Hodrick","","","Laurie Simon Hodrick"
"1","Robert A. Korajczyk","","","Robert A. Korajczyk"
"1","Laurie J. Kirsch","","","Laurie J. Kirsch"
"1","Dong-Gil Ko","","","Dong-Gil Ko"
"1","Russell L. Purvis","","","Russell L. Purvis"
"1","Ramazan Demir","","","Ramazan Demir"
"1","Ety Zohar","","","Ety Zohar"
"1","Nahum Shimkin","","","Nahum Shimkin"
"1","Wen-Chyuan Chiang","","","Wen-Chyuan Chiang"
"1","Paul F. Zantek","","","Paul F. Zantek"
"1","James T. Treharne","","","James T. Treharne"
"1","Saifallah Benjaafar","","","Saifallah Benjaafar"
"1","Kip Smith","","","Kip Smith"
"1","Kevin McCabe","","","Kevin McCabe"
"1","José V. Pardo","","","José V. Pardo"
"1","Robert Garfinkel","","","Robert Garfinkel"
"1","Luk Warlop","","","Luk Warlop"
"1","Vincent L. Barker","","","Vincent L. Barker"
"1","George C. Mueller","","","George C. Mueller"
"1","Duane Christ","","","Duane Christ"
"1","Michael E. Porter","","","Michael E. Porter"
"1","Julie Smith David","","","Julie Smith David"
"1","Yuhchang Hwang","","","Yuhchang Hwang"
"1","Buck K. W. Pei","","","Buck K. W. Pei"
"1","J. Hal Reneau","","","J. Hal Reneau"
