"Papers","Affiliation","Areas"
"1","Department of Information Systems, City University of Hong Kong, Kowloon Tong, Hong Kong",""
"1","College of Business, Washington State University, Pullman, Washington 99164",""
"1","General Motors Research and Development, Warren, Michigan 48090",""
"1","Woodrow Wilson School of Public",""
"1","International Affairs, Princeton University, Princeton, New Jersey 08544",""
"1","Social Computing Lab, HP Labs, Palo Alto, California 94304",""
"1","LECG, Washington, DC 20006",""
"1","Social Computing Lab, Hewlett-Packard Laboratories, Palo Alto, California 94304",""
"1","Department of Business Administration, Universidad Carlos III de Madrid, 28903 Madrid, Spain",""
"1","GISMA Business School, Leibniz University Hannover, 30167 Hannover, Germany",""
"1","School of Law, Northwestern University, Chicago, Illinois 60611",""
"1","and AlphaSimplex Group, Cambridge, Massachusetts 02142",""
"1","MDContent, Ann Arbor, Michigan 48104",""
"1","Enterprise Systems Engineering, College of Engineering, University of Illinois at Urbana–Champaign, Urbana, Illinois 61801",""
"1","and Department of Psychology, University of Illinois at Urbana–Champaign, Urbana, Illinois 61801",""
"1","Department of Psychology, University of Illinois at Urbana–Champaign, Urbana, Illinois 61801",""
"1","The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19004",""
"1","and Srini Raju Centre for IT",""
"1","the Networked Economy, Indian School of Business, Hyderabad 500032, India",""
"1","School of Accounting, Darla Moore School of Business, University of South Carolina, Columbia, South Carolina 29208",""
"1","Operations Management, Warrington College of Business Administration, University of Florida, Gainesville, Florida 32611",""
"1","Technology Management, IE Business School, 28006 Madrid, Spain",""
"1","Business School, University of Aberdeen, Old Aberdeen AB24 3QY, Scotland",""
"1","Norwegian School of Economics and Business Administration, 5045 Bergen, Norway",""
"1","Toulouse School of Economics, F-31042 Toulouse Cedex, France",""
"1","Statistics, Vienna University of Economics and Business, A-1190 Wien, Austria",""
"1","Marketing, Hong Kong Polytechnic University, Kowloon, Hong Kong",""
"1","Department of Information Systems, Walton College of Business, University of Arkansas, Fayetteville, Arkansas 72701",""
"1","Department of Management Information Systems, Korea University, Seoul, Korea",""
"1","Economics, Koç University, Istanbul, Turkey 34450",""
"1","Department of Management, School of Business Administration, University of Miami, Coral Gables, Florida 33124",""
"1","Information Systems, Smeal College of Business, Pennsylvania State University, University Park, Pennsylvania 16802",""
"1","Department of System Engineering",""
"1","Operations Research Department, University of California, Berkeley, Berkeley, California 94720",""
"1","Birmingham Business School, University of Birmingham, Birmingham B15 2TT, United Kingdom",""
"1","University of Tilburg, 5000 LE Tilburg, The Netherlands",""
"1","School of Information, University of California, Berkeley, Berkeley, California 94720",""
"1","and INSEAD, Fontainebleau 77305, France",""
"1","Apple Inc., Cupertino, California 95014",""
"1","Department of Economics, University of Missouri–St. Louis, St. Louis, Missouri 63121",""
"1","Andrew Young School of Policy Studies",""
"1","NBER, Georgia State University, Atlanta, Georgia 30302",""
"1","and Centre for European Economic Research, 68161 Mannheim, Germany",""
"1","Department of Managerial Economics, Strategy and Innovation, Katholieke Universiteit Leuven, 3000 Leuven, Belgium",""
"1","Centre for R&D Monitoring at K.U. Leuven",""
"1","Finance, College of Business, Massey University, Wellington 6021, New Zealand",""
"1","and Department of Accounting, HEC Paris, 78350 Jouy-en-Josas Cedex, France",""
"1","Department of Management, Stern School of Business, New York University, New York, New York 10012",""
"1","School of Management, Fudan University, Shanghai 200433, People's Republic of China",""
"1","and Cheung Kong Graduate School of Business, 100738 Beijing, China",""
"1","Computer Science, Tata Institute of Fundamental Research, Mumbai 400005, India",""
"1","International Management, London Business School, London NW1 4SA, United Kingdom",""
"1","Finance Department, McCombs School of Business, The University of Texas at Austin, Austin, Texas 78712",""
"1","INSEAD, Abu Dhabi Campus, Abu Dhabi, United Arab Emirates",""
"1","Management, Erasmus University, 3000 DR Rotterdam, The Netherlands",""
"1","Faculty of Business Administration, Chinese University of Hong Kong, Hong Kong, People's Republic of China",""
"1","Hong Kong Baptist University, Kowloon Tong, Hong Kong",""
"1","and Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong",""
"1","BETA, University of Strasbourg, Strasbourg 67085, France",""
"1","and UNU-MERIT, Maastricht University, 6211 TC Maastricht, The Netherlands",""
"1","University of Luxembourg, L-1246 Luxembourg",""
"1","Weldon School of Biomedical Engineering, Purdue University, West Lafayette, Indiana 47907",""
"1","Management, Graduate School of Public Health, University of Pittsburgh, Pittsburgh, Pennsylvania 15261",""
"1","Palumbo-Donahue School of Business, Duquesne University, Pittsburgh, Pennsylvania 15282",""
"1","Operations Management Department, Goizueta Business School, Emory University, Atlanta, Georgia 30322",""
"1","School of Management, Bucknell University, Lewisburg, Pennsylvania 17837",""
"1","Toulouse School of Economics (IDEI, CNRS, CRM), Toulouse University, 31000 Toulouse, France",""
"1","Toulouse School of Economics (IAE, IDEI, CRM), Toulouse University, 31000 Toulouse, France",""
"1","Department of Logistics Management, Izmir University of Economics, Izmir 35330, Turkey",""
"1","Industrial Engineering Department, Middle East Technical University, Ankara 06531, Turkey",""
"1","Engineering Systems Division, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142",""
"1","Center for National Policy, Washington, DC 20001","operations management"
"1","CIRRELT and Département de Mathématiques et de Génie Industriel, École Polytechnique de Montréal, Montréal, Québec H3C 3A7, Canada","optimization"
"1","CIRRELT and Département d'Informatique et de Recherche Opérationnelle, Université de Montréal, Montréal, Québec H3C 3J7, Canada","optimization"
"1","Department of Finance, University of Vienna, 1210 Vienna, Austria","decision analysis"
"1","Strategic Interaction Group, Max Planck Institute of Economics, 07745 Jena, Germany","decision analysis"
"1","Systems Analysis Laboratory, Aalto University School of Science, 00076 Aalto, Finland","decision analysis"
"1","Administrative Sciences, Özyeğin University, Istanbul, Turkey 34662","information systems"
"1","DRUID, Department of Business Studies, Aalborg University, DK-9220 Aalborg Ø, Denmark","organizations"
"1","Organization Department, Robert H. Smith School of Business, University of Maryland, College Park, Maryland 20742","organizations"
"1","School of Business, University of Sydney, New South Wales 2006, Australia","decision analysis"
"1","Nomura Centre for Mathematical Finance, University of Oxford, Oxford OX1 3LB, United Kingdom","finance"
"1","Oxford–Man Institute of Quantitative Finance, University of Oxford, Oxford OX2 6ED, United Kingdom","finance"
"1","and Department of Systems Engineering","finance"
"1","Engineering Management, Chinese University of Hong Kong, Shatin, Hong Kong","finance"
"1","Desautels Centre for Intregrative Thinking, Rotman School of Management, University of Toronto, Toronto, Ontario M5S 3E6, Canada","organizations and social networks"
"1","Brock University, St. Catharines, Ontario L2S 3A1, Canada","entrepreneurship and innovation"
"1","Department of Sociology, Cornell University, Ithaca, New York 14853","organizations and social networks"
"1","Zürcher Kantonalbank, 8010 Zurich, Switzerland","finance"
"1","University of Zurich, 8032 Zurich, Switzerland","finance"
"1","Lehrstuhl fuer Bankbetriebslehre, Universitaet Mannheim, 68131 Mannheim, Germany","decision analysis"
"1","Australian School of Business, University of New South Wales, Sydney, New South Wales 2052, Australia","operations management"
"1","RWTH Aachen, 52062 Aachen, Germany","decision analysis"
"1","Risk Analytics, Corporate Finance, Wells Fargo, Charlotte, North Carolina 28202","finance"
"1","Department of Finance, J. Mack Robinson College of Business, Georgia State University, Atlanta, Georgia 30303","finance"
"1","Finance, San José State University, San José, California 95192","finance"
"1","Insurance, J. Mack Robinson College of Business, Georgia State University, Atlanta, Georgia 30303","finance"
"1","Institut für Mathematik, Technische Universität Berlin, 10623 Berlin, Germany","optimization"
"1","Department of Operations Research, RWTH Aachen University, 52056 Aachen, Germany","optimization"
"1","HP Laboratories, Hewlett-Packard Company, Palo Alto, California 94304","operations and supply chain management"
"1","Formerly at George L. Argyros School of Business","decision analysis"
"1","Faculty of Business Administration, The Chinese University of Hong Kong, New Territories, Hong Kong","marketing"
"1","The Paul Merage School of Business, University of California, Irvine, Irvine, Calilfornia 92697","marketing"
"1","Economics, University of Wisconsin–Whitewater, Whitewater, Wisconsin 53190","marketing"
"1","Department of Marketing, College of Business Administration, University of Central Florida, Orlando, Florida 32816","marketing"
"1","Rotman School of Management, University of Toronto, Toronto, Ontario M5S 2E9, Canada","operations management"
"1","Shell Energy North America, Spokane, Washington 99201","r&amp;d and product development"
"1","Department of Mechanical Engineering, University of Maryland, College Park, Maryland 20742","r&amp;d and product development"
"1","Centre for Actuarial Studies, Department of Economics, University of Melbourne, Victoria 3010, Australia","finance"
"1","GREGHEC-CNRS, HEC-Paris, 78351 Jouy en Josas, France","decision analysis"
"1","Henley Business School, University of Reading, Reading RG6 6UD, United Kingdom","organizations"
"1","Department of Mathematical Sciences, Aarhus University, Aarhus DK-8000, Denmark","finance"
"1","Information Systems, Pennsylvania State University, University Park, Pennsylvania 16802","r&amp;d and product development"
"1","ICREA and Universitat Pompeu Fabra, 08005 Barcelona, Spain","operations management"
"1","Political Science, University of St. Gallen, 9000 St. Gallen, Switzerland","decision analysis"
"1","Graduate School of Business, Koç University, 34450 Istanbul-Sarıyer, Turkey","decision analysis"
"1","Institute of Textiles","operations and supply chain management"
"1","Clothing, Hong Kong Polytechnic University, Hong Kong","operations and supply chain management"
"1","Escuela de Administración, Pontificia Universidad Católica de Chile, Vicuna Mackenna 4860, Macul, Santiago, Chile","business strategy"
"1","Liverpool Management School, University of Liverpool, Liverpool L69 7ZH, United Kingdom","finance"
"1","Department of Economics, University of London, London E1 4NS, United Kingdom","finance"
"1","Financial Options Research Centre, Warwick Business School, University of Warwick, Coventry CV4 7AL, United Kingdom","finance"
"1","and Cass Business School, City University London, London EC1Y 8TZ, United Kingdom","finance"
"1","Department of Economics, University of Naples Federico II, 80126 Naples, Italy","marketing"
"1","and Center for Studies in Economics and Finance, 80126 Naples, Italy","marketing"
"1","Robert H. Smith School of Business, University of Maryland, College Park, Maryland 20850","marketing"
"1","Tiber, CentER for Economic Research,","decision analysis"
"1","Ludwig-Maximilians University Munich, 80802 Munich, Germany","decision analysis"
"1","Econometric Institute, Erasmus University Rotterdam, 3000 DR Rotterdam, The Netherlands","decision analysis"
"1","Bonn Graduate School of Economics, University of Bonn, D-53113 Bonn, Germany","decision analysis"
"1","Laboratory for Experimental Economics, University of Bonn, D-53113 Bonn, Germany","decision analysis"
"1","and the National Bureau of Economic Research, Cambridge, Massachusetts 02138","information systems"
"1","Graduate School of Business, Fordham University, New York, New York 10023","finance"
"1","EDF R&D","finance"
"1","Finance for Energy Market Research Centre, F-92141 Clamart Cedex, France","finance"
"1","Imperial College Business School, DRM-CNRS, and CEPR, London SW7 2AZ, United Kingdom","finance"
"1","Global Markets Structuring, Deutsche Bank,","finance"
"1","Finance for Energy Market Research Centre, University of Paris-Dauphine, 75775 Paris Cedex 16, France","finance"
"1","Centre de Mathématiques Appliquées, Ecole Polytechnique, 91128 Palaiseau Cedex, France","finance"
"1","Bendheim Center for Finance, Program in Applied","guest editor, finance"
"1","Computational Mathematics,","guest editor, finance"
"1","Leonard Stern School of Business, New York University, New York, New York 10012","information systems"
"1","Grenoble Applied Economic Laboratory, University of Grenoble, F-38000 Grenoble, France","special issue editors"
"1","Simmons College, Boston, Massachusetts 02115","special issue editors"
"1","Distribution, Terry College of Business, University of Georgia, Athens, Georgia 30602","special issue editors"
"1","Information, Operations,","special issue editors"
"1","Indian Institute of Management, Bangalore 560076, India","special issue editors"
"1","Strategy Group, London School of Economics, London WC2A 2AE, United Kingdom","organizations"
"1","Cheung Kong Graduate School of Business, 100738 Beijing, People's Republic of China","marketing"
"1","Sauder School of Business, Univeristy of British Columbia, Vancouver, British Columbia V6T 1Z2, Canada","business strategy"
"1","Department of Finance, University of Amsterdam, 1018 WB Amsterdam, The Netherlands","business strategy"
"1","Guanghua School of Management, Peking University, 100871 Beijing, People's Republic of China","finance"
"1","Finance, University of Hong Kong, Pokfulam, Hong Kong","finance"
"1","HEC Paris, GREGHEC, 78351 Jouy en Josas, France","decision analysis"
"1","Université Paris Sorbonne, 75016 Paris, France","decision analysis"
"1","Université Paris Descartes, 75016 Paris, France","decision analysis"
"1","Haas School of Business, University of California, Berkeley, Berkeley, California 97405","business strategy"
"1","School of Management, Lanzhou University, Lanzhou, 730000 Gansu, People's Republic of China","stochastic models and simulation"
"1","and College of Business","stochastic models and simulation"
"1","Economics, Western Washington University, Bellingham, Washington 98225","stochastic models and simulation"
"1","Department of Mathematical Sciences, National Chengchi University, Taipei, 11605 Taiwan, Republic of China","stochastic models and simulation"
"1","HEC Paris, 78351 Jouy-en-Josas Cedex, France","entrepreneurship and innovation"
"1","and Florida International University, Miami, Florida 33199","entrepreneurship and innovation"
"1","Marketing, Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong","information systems"
"1","Paris School of Economics, Université Paris 1–Panthéon-Sorbonne, 75013 Paris, France","decision analysis"
"1","and GREGHEC–HEC School of Management, F-78350 Jouy-en-Josas, Paris, France","decision analysis"
"1","Pacific Investment Management Company, Newport Beach, California 92660","finance"
"1","Department of Electronics, Computer Science","optimization"
"1","Systems, University of Bologna, 40136 Bologna, Italy","optimization"
"1","Department of Information Engineering, University of Padova, 35131 Padova, Italy","optimization"
"1","Intecs S.p.A., 56121 Pisa, Italy","optimization"
"1","Department of Information Engineering, University of Pisa, 56010 Pisa, Italy","optimization"
"1","Nokia Siemens Networks, FI-02610 Espoo, Finland","optimization"
"1","Singapore Management University, Singapore 178899, Singapore","operations management"
"1","Department of Finance, University of Houston, Houston, Texas 77004","focused issue editor"
"1","McGill University, Montreal, Quebec H3A 2T5, Canada","focused issue editor"
"1","and CREATES, School of Economics","focused issue editor"
"1","Management, University of Aarhus, DK-8000 Aarhus C, Denmark","focused issue editor"
"1","Department of Economics, College of Management, North Carolina State University, Raleigh, North Carolina 27695","focused issue editor"
"1","Department of Business Economics, Erasmus School of Economics, Erasmus University Rotterdam, 3062 PA Rotterdam, The Netherlands","teck ho, and terrance odean, special issue editors"
"1","Department of Applied Economics, Erasmus School of Economics, Erasmus University Rotterdam, 3062 PA Rotterdam, The Netherlands","teck ho, and terrance odean, special issue editors"
"1","Center for Experimental Social Science","teck ho, and terrance odean, special issue editors"
"1","and IFN–Research Institute of Industrial Economics, SE-102 15 Stockholm, Sweden","teck ho, and terrance odean, special issue editors"
"1","Department of Medical Epidemiology","teck ho, and terrance odean, special issue editors"
"1","Biostatistics, Karolinska Institutet, SE-171 77 Stockholm, Sweden","teck ho, and terrance odean, special issue editors"
"1","University of California, Berkeley, Berkeley, California 94704","teck ho, and terrance odean, special issue editors"
"1","ICREA, Universitat Pompeu Fabra","teck ho, and terrance odean, special issue editors"
"1","Center for Neural Science, New York University, New York, New York 10003","teck ho, and terrance odean, special issue editors"
"1","College of Business, University of Southern Indiana, Evansville, Indiana 47712","teck ho, and terrance odean, special issue editors"
"1","Annenberg School of Communication, University of Southern California, Los Angeles, California 90089","teck ho, and terrance odean, special issue editors"
"1","Department of Economics, Vassar College, Poughkeepsie, New York 12604","teck ho, and terrance odean, special issue editors"
"1","Department of Psychology, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada","teck ho, and terrance odean, special issue editors"
"1","Disney Research Boston, Cambridge, Massachusetts 02142","teck ho, and terrance odean, special issue editors"
"1","The Eitan Berglas School of Economics, Tel Aviv University, Ramat Aviv, Tel Aviv 69978, Israel","teck ho, and terrance odean, special issue editors"
"1","Division of Social Science, University of Minnesota, Morris, Morris, Minnesota 56267","teck ho, and terrance odean, special issue editors"
"1","Institute for the Study of Labor (IZA), D-53113 Bonn, Germany","teck ho, and terrance odean, special issue editors"
"1","and Centre for Decision Research","teck ho, and terrance odean, special issue editors"
"1","Accounting Group, University of Cambridge Judge Business School, Cambridge CB2 1AG, United Kingdom","teck ho, and terrance odean, special issue editors"
"1","EDHEC Business School, Lille, 59057 Roubaix, France","teck ho, and terrance odean, special issue editors"
"1","China Academy of Financial Research, 200030 Shanghai, People's Republic of China","teck ho, and terrance odean, special issue editors"
"1","and Sauder School of Business, University of British Columbia, Vancouver, British Columbia V6T 1Z2, Canada","teck ho, and terrance odean, special issue editors"
"1","and HEC Paris, 78350 Jouy en Josas, France","teck ho, and terrance odean, special issue editors"
"1","The Conference Board, New York, New York 10022","teck ho, and terrance odean, special issue editors"
"1","BlackRock, San Francisco, California 94105","teck ho, and terrance odean, special issue editors"
"1","Stockholm School of Economics, CEPR, and ECGI, SE-113 83 Stockholm, Sweden","teck ho, and terrance odean, special issue editors"
"1","School of Business Administration, The Hebrew University of Jerusalem, CEPR, and ECGI, Mount Scopus, 91905 Jerusalem, Israel","teck ho, and terrance odean, special issue editors"
"1","and Department of Economics, University of Gothenburg, S-405 30 Gothenburg, Sweden","teck ho, and terrance odean, special issue editors"
"1","and Center for Finance, University of Gothenburg, S-405 30 Gothenburg, Sweden","teck ho, and terrance odean, special issue editors"
"1","Oxford-Man Institute, University of Oxford, Oxford OX2 6ED, United Kingdom","teck ho, and terrance odean, special issue editors"
"1","Barclays Capital, London E14 4BB, United Kingdom","finance"
"1","Graduate School of Finance, Accounting","finance"
"1","Law, Waseda University, Tokyo 169-8050, Japan","finance"
"1","Weill Cornell Medical College, Cornell University, New York, New York 10021","organizations"
"1","and Marshall School of Business, University of Southern California, Los Angeles, California 90089","marketing"
"1","Health Policy","operations management"
"1","Administration, Pennsylvania State University, University Park, Pennsylvania 16802","operations management"
"1","Operations Management, Harvard Business School, Harvard University, Boston, Massachusetts 02163","operations management"
"1","Yonsei School of Business, Yonsei University, Seoul 120-749, Korea","information systems"
"1","The A. Gary Anderson Graduate School of Management, University of California, Riverside, Riverside, California 92521","operations management"
"1","Northwestern University Institute on Complex Systems, Northwestern University, Evanston, Illinois 60208","decision analysis"
"1","Center for the Study of Complex Systems, Departments of Economics","decision analysis"
"1","Political Science, University of Michigan, Ann Arbor, Michigan 48106","decision analysis"
"1","Universitat Pompeu Fabra and Barcelona GSE, Ramon Trias Fargas 25-27, 08005 Barcelona, Spain","decision analysis"
"1","IESE Business School, Avda. Pearson 21, 08034 Barcelona, Spain","decision analysis"
"1","Yonsei School of Business, Yonsei University, Seodaemun-gu, Seoul 120-749, Korea","marketing"
"1","Department of Economics, University of Lausanne, Internef, 1015 Lausanne-Dorigny, Switzerland","decision analysis"
"1","Department of Economics, Swarthmore College, Swarthmore, Pennsylvania 19081","decision analysis"
"1","College of Business, Washington State University, Vancouver, Washington 98686","organizations"
"1","School of Business, University of Wisconsin–Madison, Madison, Wisconsin 53706","organizations"
"1","Management, University of Melbourne, Victoria 3010, Australia","organizations"
"1","ESSEC Business School, 95021, Cergy-Pontoise Cedex, France","marketing"
"1","DRUID, Department of Business","organizations"
"1","Management, Aalborg University, DK-9220 Aalborg Ø, Denmark","organizations"
"1","Information Systems, Business Statistics","operations management"
"1","Operations Management Department, Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong","operations management"
"1","McCombs School of Business, University of Texas at Austin, Austin, Texas 78715","operations management"
"1","Department of Finance, University of Mannheim, Mannheim 68167, Germany","finance"
"1","and IBM Research Lab, Haifa University, Haifa 31905, Israel","stochastic models and simulation"
"1","Lubar School of Business, University of Wisconsin, Milwaukee, Wisconsin 53201","finance"
"1","George Washington School of Business, Washington, DC 20052","accounting"
"1","Department of Economics, Royal Holloway, University of London, London, United Kingdom","accounting"
"1","Department of Management, Università Ca' Foscari Venezia, 30121 Venezia, Italy","decision analysis"
"1","Department of Economics and Finance, Università LUISS Guido Carli, 00198 Roma, Italy","decision analysis"
"1","CentER, European Banking Center,","finance"
"1","CentER, European Banking Center, Tilburg Law","finance"
"1","Economics Center,","finance"
"1","and Duisenberg School of Finance, 1082 MS Amsterdam, The Netherlands","finance"
"1","Department of Industrial Engineering, University of Chile, 8370439 Santiago, Chile","operations management"
"1","School of Business, Instituto Tecnológico Autónomo de México (ITAM), 01080 Mexico, D.F., Mexico","marketing"
"1","Department of Economics, Maastricht University, Maastricht 6211 LM, The Netherlands","behavioral economics"
"1","European Center for Advanced Research in Economics","entrepreneurship and innovation"
"1","Statistics (ECARES), Solvay Brussels School of Economics and Management, Université libre de Bruxelles, 1050 Brussels, Belgium","entrepreneurship and innovation"
"1","School of Business, University of Hong Kong, Pok Fu Lam, Hong Kong","operations management"
"1","and Department of Economics, University of Gothenburg, SE-405 30 Gothenburg, Sweden","behavioral economics"
"1","Instituto Superior de Derecho y Economia, E-28001 Madrid, Spain","behavioral economics"
"1","School of Law","organizations"
"1","Marshall School of Business, University of Southern California, Los Angeles, California 40089","marketing"
"1","MIT Sloan School of Management, Massachusetts Institute of Technology, Cambridge Massachusetts 02142","entrepreneurship and innovation"
"1","and EIM Business","entrepreneurship and innovation"
"1","Policy Research, 2701 AA Zoetermeer, The Netherlands","entrepreneurship and innovation"
"1","Centre for Research in Innovation Management, University of Brighton, East Sussex BN1 9QE, United Kingdom","entrepreneurship and innovation"
"1","Department of Operations Management, Krannert School of Management, Purdue University, West Lafayette, Indiana 47907","optimization"
"1","Design Pillar, Singapore University of Technology and Design, Singapore 138682","finance"
"1","Finance, Terry College of Business, University of Georgia, Athens, Georgia 30602","finance"
"1","Finance Department, Edwin L. Cox School of Business, Southern Methodist University, Dallas, Texas 75205","finance"
"1","J.M. Tull School of Accounting, Terry College of Business, University of Georgia, Athens, Georgia 30602","finance"
"1","and Samuel Curtis Johnson Graduate School of Management, Cornell University, Ithaca, New York 14853","finance"
"1","and Olin School of Business, Washington University in St. Louis, St. Louis, Missouri 63130","finance"
"1","Department of Financial Economics, BI Norwegian Business School, Nydalsveien 37, 0484 Oslo, Norway","finance"
"1","School of Management, Huazhong University of Science and Technology, Wuhan, 430074 Hubei, China","operations management"
"1","WZB, 10785 Berlin, Germany","decision analysis"
"1","J. Mack Robinson College of Business, Georgia State University, Atlanta, Georgia 30302","marketing"
"1","Balliol College, University of Oxford, Oxford OX1 1HP, United Kingdom","finance"
"1","Universidade Católica Portuguesa, 1649-023 Lisboa, Portugal","marketing"
"1","Department of Economics, University of St. Gallen, CH-9000 St. Gallen, Switzerland","decision analysis"
"1","Lee Kong Chian School of Business, Singapore Management University, Singapore 178899, Republic of Singapore","optimization"
"1","Econometric Institute, Erasmus School of Economics, Erasmus University Rotterdam, 3000 DR Rotterdam, The Netherlands","finance"
"1","Department of Economics, University of Chicago, Chicago, Illinois 60673","decision analysis"
"1","Department of Business Administration, University of Cologne, D-50923 Cologne, Germany","decision analysis"
"1","Leonard N. Stern School of Business, New York Univesrity, New York, New York 10012","entrepreneurship and innovation"
"1","Department of Finance, The George Washington University, Washington, DC 20052","finance"
"1","University of Cologne, 50931 Cologne, Germany","decision analysis"
"1","RWTH Aachen University, 52056 Aachen, Germany","decision analysis"
"1","IZA–Institute for the Study of Labor, 53113 Bonn, Germany","decision analysis"
"1","THEMA, Université de Cergy-Pontoise, 95011 Cergy Cedex, France","marketing"
"1","Hanken School of Economics, 00101 Helsinki, Finland","finance"
"1","Konrad-Zuse-Zentrum für Informationstechnik Berlin, 14195 Berlin, Germany","optimization"
"1","Department of Applied Mathematics, SINTEF, 0314 Oslo, Norway","optimization"
"1","and Department of Computer, Control, and Management Engineering, Sapienza Università di Roma, 00185 Rome, Italy","optimization"
"1","Department of Computer, Control, and Management Engineering, Sapienza Università di Roma, 00185 Rome, Italy","optimization"
"1","Department of Computing, Imperial College of Science, Technology and Medicine, London SW7 2AZ, United Kingdom","optimization"
"1","and Jindal School of Management, University of Texas at Dallas, Richardson, Texas 75080","decision analysis"
"1","School of Economics, University of New South Wales, Sydney NSW 2052, Australia","decision analysis"
"1","Department of Economics, University of Cologne, D-50923 Köln, Germany","decision analysis"
"1","Electrical Engineering","operations management"
"1","Lehrstuhl für Bankbetriebslehre, Universität Mannheim, 68131 Germany","behavioral economics"
"1","Barclays PLC, London E14 5HP, United Kingdom","behavioral economics"
"1","and CentER, Tilburg University, 5000 LE Tilburg, The Netherlands","optimization"
"1","Operations Research, Tilburg University, 5000 LE Tilburg, The Netherlands","optimization"
"1","Department of Mathematical Sciences, Tsinghua University, 100084 Beijing, China","stochastic models and simulation"
"1","and China Institute for Actuarial Science, Central University of Finance and Economics, 100081 Beijing, China","stochastic models and simulation"
"1","Graduate School of Business Administration, Fordham University, New York, New York 10023","finance"
"1","Stern School of Business, New York University, New York, New York 10011","decision analysis"
"1","and SRITNE, Indian School of Business, Hyderabad 500032, India","information systems"
"1","Decision Sciences, Western Illinois University, Macomb, Illinois 61455","finance"
"1","Division for the Humanities","behavioral economics"
"1","The University of Sydney Business School, The University of Sydney, Sydney NSW 2006, Australia","behavioral economics"
"1","Research Department, Federal Reserve Bank of Boston, Boston, Massachusetts 02210","behavioral economics"
"1","The Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel 69978","behavioral economics"
"1","Centers for Health Policy","stochastic models and simulation"
"1","Primary Outcomes Research, Stanford University School of Medicine, Stanford, California 94305","stochastic models and simulation"
"1","Information Systems, University of Massachusetts Lowell, Lowell, Massachusetts 01854","information systems"
"1","Institute for Innovation Research, Technology Management,","entrepreneurship and innovation"
"1","Entrepreneurship, Munich School of Management, Ludwig-Maximilian University Munich, D-80539 Munich, Germany","entrepreneurship and innovation"
"1","School of Computing, National University of Singapore, Singapore 117417","organizations"
"1","University of Bocconi, 20141 Milan, Italy","accounting"
"1","Statistical Laboratory, University of Cambridge, Cambridge CB3 0WB, United Kingdom","finance"
"1","Department of Mathematics, London School of Economics, London WC2A 2AE, United Kingdom","finance"
"1","Graduate School of Economics","entrepreneurship and innovation"
"1","Business Administration, Hokkaido University, Sapporo, Hokkaido 060-0809, Japan","entrepreneurship and innovation"
"1","Services Research, IBM Research, San Jose, California 95120","operations management"
"1","Management, Tilburg University, 5037 AB Tilburg, The Netherlands","marketing"
"1","University of Auckland, Auckland 1142, New Zealand","operations management"
"1","and Department of Management, University of Toronto at Scarborough, Toronto, Ontario M1C 1A4 Canada","finance"
"1","Universidad Carlos III de Madrid, 28903 Getafe, Spain","business strategy"
"1","and Bocconi University, 20136 Milan, Italy","business strategy"
"1","and Yale School of Management, Yale University, New Haven, Connecticut 06520","operations management"
"1","Simon School of Business, University of Rochester, Rochester, New York 14617","stochastic models and simulation"
"1","and IMD, CH-1001 Lausanne, Switzerland","business strategy"
"1","Leonard N. Stern School of Business, New York University, New York 10012","operations management"
"1","State University of New York, Albany, New York 12222","marketing"
"1","Haas School of Business, University of California, Berkeley, Berkeley, California, 94720","accounting"
"1","Department of Business Administration, University of Vienna, 1210 Vienna, Austria","accounting"
"1","EDHEC Business School, 06202 Nice, France","finance"
"1","Systems Management, School of Business","finance"
"1","and Risk","decision analysis"
"1","Graduate Institute of Finance, National Taiwan University of Science and Technology, Taipei 106, Taiwan","decision analysis"
"1","University of Innsbruck, A-6020 Innsbruck, Austria","behavioral economics"
"1","and University of Gothenburg, SE-40530 Göteborg, Sweden","behavioral economics"
"1","Fordham University, Bronx, New York 10458","behavioral economics"
"1","Albertus-Magnus-Platz, 50923 Köln, Germany","behavioral economics"
"1","and University of Innsbruck, A-6020 Innsbruck, Austria","behavioral economics"
"1","and Centre for Financial Research, University of Cologne, 50923 Cologne, Germany","finance"
"1","Department of Marketing, School of Business, University of Connecticut, Storrs, Connecticut 06269","information systems"
"1","and International Monetary Fund, Washington, DC 20431","decision analysis"
"1","Department of Management Sciences, Fisher College of Business, The Ohio State University, Columbus, Ohio 43210","optimization"
"1","Operations Research, Columbia University, New York, New York 10027,","stochastic models and simulation"
"1","Center for Customer Insight, University of St. Gallen, CH-9000 St. Gallen, Switzerland","marketing"
"1","and Guanghua School of Management, Peking University, 100871 Peking, China","finance"
"1","Centre d'Economie de la Sorbonne, 75647 Paris, Cedex 13, France","marketing"
"1","and Ecole Normale Supérieure de Cachan, 94235 Cachan, France","marketing"
"1","Risk Management","finance"
"1","Insurance, Robinson College of Business, Georgia State University, Atlanta, Georgia 30303","finance"
"1","Operations Management Department, Foster School of Business, University of Washington, Seattle, Washington 98195","operations management"
