"Papers","Affiliation","Areas"
"32","Desautels Faculty of Management, McGill University, Montreal, Quebec H3A 1G5, Canada","business strategy, finance, information systems, marketing, operations management, optimization, organizations, revenue management and market analytics, special issue on digital finance"
"31","Indiana University",""
"31","Graduate School of Business, University of Chicago, Chicago, Illinois 60637",""
"31","David Eccles School of Business, University of Utah, Salt Lake City, Utah 84112","accounting, behavioral economics and decision analysis, entepreneurship and innovation, entrepreneurship and innovation, finance, information systems, judgment and decision making, marketing, operations and supply chain management, operations management, organizations"
"30","Fuqua School of Business, Duke University, Durham, North Carolina 27706",""
"30","Leonard N. Stern School of Business, New York University, New York, New York 10012","accounting, big data analytics, business strategy, data science, finance, focused issue editor, information systems, operations management, organizations, special issue on business analytics, special issue on the human-algorithm connection"
"30","Darden School of Business, University of Virginia, Charlottesville, Virginia 22903","accounting, behavioral economics and decision analysis, decision analysis, entrepreneurship and innovation, finance, marketing, operations management, special issue on the human-algorithm connection, special section of management science on business and climate change, stochastic models and simulation"
"30","Society, Department of Civil","big data analytics, data science, management science special section on data-driven prescriptive analytics, operations management, revenue management and analytics, revenue management and market analytics"
"29","Georgia Institute of Technology",""
"29","University of Florida",""
"29","School of Management","accounting, behavioral economics and decision analysis, decision analysis, finance, information systems, marketing, operations management, optimization, revenue management and market analytics, special section of management science : blockchains and crypto economics, special section of management science on business and climate change, stochastic models and simulation"
"28","The Rand Corporation, Santa Monica, California",""
"28","Yale University",""
"28","University of Rochester",""
"28","Stanford University, Stanford, California 94305","accounting, behavioral economics and decision analysis, finance, healthcare management, information systems, judgment and decision making, marketing, operations management, organizations, special section of management science: 65th anniversary"
"28","Engineering, Stanford University, Stanford, California 94305","decision analysis, finance, operations and supply chain management, operations management, optimization and decision analytics, revenue management and market analytics, special section of management science on business and climate change, stochastic models, stochastic models and simulation"
"28","Warwick Business School, University of Warwick, Coventry CV4 7AL, United Kingdom","accounting, behavioral economics, behavioral economics and decision analysis, business strategy, decision analysis, entrepreneurship and innovation, finance, judgment and decision making, marketing, optimization, organizations"
"27","Duke University",""
"27","School of Operations Research","data science, finance, management science special section on data-driven prescriptive analytics, operations management, optimization, revenue management and market analytics, stochastic models and simulation"
"27","Systems Engineering, Georgia Institute of Technology, Atlanta, Georgia 30332","decision analysis, operations management, optimization, revenue management and market analytics"
"27","Krannert Graduate School of Management, Purdue University, West Lafayette, Indiana 47907",""
"27","College of Business","accounting, business strategy, finance, marketing"
"27","Management Sciences, Northwestern University, Evanston, Illinois 60208","operations management, optimization, special issue on the human-algorithm connection, stochastic models and simulation"
"27","Department of Operations","finance, information systems, marketing, operations management, optimization"
"27","Jindal School of Management, University of Texas at Dallas, Richardson, Texas 75080","accounting, behavioral economics, big data analytics, decision analysis, finance, healthcare management, information systems, marketing, operations management"
"27","Antai College of Economics","behavioral economics, big data analytics, finance, information systems, management science special section on data-driven prescriptive analytics, marketing, operations management, optimization, revenue management and market analytics"
"27","Samuel Curtis Johnson Graduate School of Management, Cornell University, Ithaca, New York 14853","accounting, behavioral economics, data science, finance, information systems, marketing, operations management, optimization, special issue on the human-algorithm connection"
"26","University of British Columbia",""
"26","Engineering Management, Stanford University, Stanford, California 94305",""
"26","Department of Decision Sciences","behavioral economics, behavioral economics and decision analysis, big data analytics, decision analysis, information systems, marketing, operations management, optimization, revenue management and market analytics, stochastic models and simulation"
"26","McDonough School of Business, Georgetown University, Washington, DC 20057","accounting, behavioral economics and decision analysis, decision analysis, entrepreneurship and innovation, finance, marketing, operations management, optimization, organizations, stochastic models and simulation"
"26","School of Accounting","accounting, finance, information systems, special issue on ai for finance and business decisions. funding: m. dai was supported by the hong kong research grants council [15212324, 15217123, 15213422, and"
"26","Warrington College of Business, University of Florida, Gainesville, Florida 32611","accounting, big data analytics, finance, information systems, marketing"
"26","Wisconsin School of Business, University of Wisconsin–Madison, Madison, Wisconsin 53706","behavioral economics, behavioral economics and decision analysis, decision analysis, finance, information systems, judgment and decision making, marketing, operations and supply chain management, operations management, special issue on the human-algorithm connection"
"25","Faculty of Economics","behavioral analysis, behavioral economics and decision analysis, decision analysis, finance, marketing, operations management, special section of management science on business and climate change"
